"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","natural","ele","wikidata"
"10141570938","node","https://osm.org/node/10141570938","54.081289","-4.697191","Poyll Breinn","","Poyll Breinn","bay","",""
"527211354","way","https://osm.org/way/527211354","","","Poyll Dooey Nature Reserve","Poyll Dooey Nature Reserve","Poyll Dooey","wetland","",""
"10141524235","node","https://osm.org/node/10141524235","54.100682","-4.56266","Purt Veg","","Purt Veg","bay","",""
"8398345472","node","https://osm.org/node/8398345472","54.10126","-4.773029","Purt ny Ding","","Purt ny Ding","bay","","Q7230434"
"440623054","node","https://osm.org/node/440623054","54.340986","-4.352671","Ramsey Bay","Ramsey Bay","Vaie Rhumsaa","bay","","Q125359"
"10141524229","node","https://osm.org/node/10141524229","54.126942","-4.517468","Rebog","","Rebog","bay","",""
"473675166","way","https://osm.org/way/473675166","","","Royal Navy Surveillance Radar","","","scrub","",""
"10135755274","node","https://osm.org/node/10135755274","54.400386","-4.455294","Rue Point","","","cape","","Q26714984"
"763911134","way","https://osm.org/way/763911134","","","Salmon Lake","","","water","",""
"10141570931","node","https://osm.org/node/10141570931","54.073417","-4.632846","Sandwick","","","bay","",""
"10141524234","node","https://osm.org/node/10141524234","54.101426","-4.550866","Santon Head","","","cape","","Q26714985"
"283505677","node","https://osm.org/node/283505677","54.253202","-4.557061","Sartfell","","","peak","454",""
"10141570934","node","https://osm.org/node/10141570934","54.062173","-4.665546","Scarlett Point","","","cape","","Q26714986"
"706812754","way","https://osm.org/way/706812754","","","Sea Lion Pool","","","water","",""
"832403438","way","https://osm.org/way/832403438","","","Shag Rock","","","coastline","",""
"11204975121","node","https://osm.org/node/11204975121","54.371595","-4.373655","Shellag Point","","","cape","","Q26714987"
"1170260802","way","https://osm.org/way/1170260802","","","Silt lagoon","","","wetland","",""
"10141570935","node","https://osm.org/node/10141570935","54.075243","-4.690506","Skeir Lea","","Skier Lea","bay","",""
"438328922","way","https://osm.org/way/438328922","","","Skeirrip","","","bare_rock","",""
"832410982","way","https://osm.org/way/832410982","","","Slea ny Bery","","Slea ny Bery","bare_rock","",""
"283496369","node","https://osm.org/node/283496369","54.156553","-4.580339","Slieau Chiarn","","","peak","",""
"283516450","node","https://osm.org/node/283516450","54.28441","-4.548749","Slieau Curn","","","peak","351",""
"283485746","node","https://osm.org/node/283485746","54.273411","-4.532822","Slieau Dhoo","","","peak","428",""
"283520669","node","https://osm.org/node/283520669","54.263945","-4.549063","Slieau Freoaghane","","","peak","489","Q7540414"
"10700596995","node","https://osm.org/node/10700596995","54.306154","-4.369035","Slieau Lewaigue","Slieau Lewaigue","Slieau Lewaigue","peak","",""
"283505262","node","https://osm.org/node/283505262","54.261488","-4.417624","Slieau Lhean","","","peak","466",""
"283507868","node","https://osm.org/node/283507868","54.227135","-4.46648","Slieau Lhost","","","peak","430",""
"283499373","node","https://osm.org/node/283499373","54.243215","-4.538604","Slieau Maggle","","","peak","427",""
"283507367","node","https://osm.org/node/283507367","54.289123","-4.465405","Slieau Meanagh","","","peak","385",""
"8381031920","node","https://osm.org/node/8381031920","54.214085","-4.456985","Slieau Meayl","","","peak","",""
"283519663","node","https://osm.org/node/283519663","54.263163","-4.40329","Slieau Ouyr","","","peak","452",""
"283479370","node","https://osm.org/node/283479370","54.210648","-4.48664","Slieau Ree","","","peak","325",""
"283492053","node","https://osm.org/node/283492053","54.209556","-4.564808","Slieau Ruy","","","peak","479",""
"283490236","node","https://osm.org/node/283490236","54.25685","-4.394802","Slieau Ruy","","","peak","396",""
"283513606","node","https://osm.org/node/283513606","54.189719","-4.66182","Slieau Whallian","","","peak","334",""
"283514313","node","https://osm.org/node/283514313","54.26324","-4.461667","Snaefell","Snaefell","Sniaull","peak","621","Q147557"
"283524052","node","https://osm.org/node/283524052","54.149466","-4.669327","South Barrule","South Barrule","Baarool Jiass","peak","483","Q147437"
"7762882753","node","https://osm.org/node/7762882753","54.045803","-4.812183","South Harbour","","","bay","",""
"4506345193","node","https://osm.org/node/4506345193","54.056855","-4.781346","Spanish Head","","Kione Speeney","cape","30","Q125555"
"7782178022","node","https://osm.org/node/7782178022","54.086391","-4.759444","St Catherine’s Well","","","spring","",""
