,Proposal,Property Address,Decision,Date decision issued
22/00063/LAW,Application for certificate of lawfulness to convert former guest house to a house in multiple occupation (HMO),Paramount 9 Mona Drive Douglas Isle Of Man IM2 4LG,CLAWA,09-May-22
22/00064/B,Erection of a stable block with storage,The Nappin Glen Duff Ramsey Isle Of Man IM7 2AT ,PER,31-May-22
22/00065/GB,Installation of replacement external metal railings (in association with 22/00066/CON),Central Apartments Central Promenade And Broadway Douglas Isle Of Man IM2 4EL ,PER,02-Mar-22
22/00066/CON,Registered Building consent for the installation of replacement external metal railings (in association with 22/00065/GB) Registered Building Nos. 173,Central Apartments Central Promenade And Broadway Douglas Isle Of Man IM2 4EL ,PER,02-Mar-22
22/00067/B,Removal of a chimney stack,15 Banks Howe Onchan Isle Of Man IM3 2EN,PER,18-Mar-22
22/00068/B,"Alteration, erection of extension to front elevation and installation of a summerhouse",Highcliffe Ramsey Road Laxey Isle Of Man IM4 7PD,PER,01-Jul-22
22/00069/B,Erection of a detached dwelling with integral garage,Land To The Rear Of 'Glenlea'  Highfield Drive Baldrine IM4 6ED,PER,26-May-22
22/00070/B,Alterations and erection of an extension with integral garage,Europa Grove Mount Ramsey Isle Of Man IM8 3HQ,PER,04-Apr-22
22/00071/D,Installation of three false windows with associated images,Spar 39 Clagh  Vane Ballasalla Isle Of Man IM9 2HR ,PER,28-Mar-22
22/00072/B,Erection of a detached triple garage,Ballaveare Old Castletown Road Port Soderick Isle Of Man IM4 1BB ,PER,13-Apr-22
22/00073/B,Creation of additional vehicular access & parking apron,16 Highfield Crescent Onchan Isle Of Man IM3 3BH,PER,25-Apr-22
22/00074/B,Erection of ground floor extension to replace conservatory,16 Highfield Crescent Onchan Isle Of Man IM3 3BH,PER,16-Mar-22
22/00075/B,Erection of detached summer house to the rear garden,60 Majestic Drive Onchan Isle Of Man IM3 2JL,REF,21-Jun-22
22/00076/B,Ground and first floor extension of dwelling over existing garage.,28 Ballanoa Meadow Santon Isle Of Man IM4 1HQ,PER,20-Jun-22
22/00077/B,Erection of dwelling and attached garage with annex and creation of vehicular access,Land Adjacent To Longmead Ballakillowey Road Colby Isle Of Man  ,PER,07-Apr-22
22/00078/B,Alterations to existing dwelling including replacement roof and installation of rooflights and lightwell,16 The Crofts Castletown Isle Of Man IM9 1LY,PER,26-Apr-22
22/00079/CON,Registered Building Consent for demolition elements to PA 22/00078/B,16 The Crofts Castletown Isle Of Man IM9 1LY,WDN,05-Aug-22
22/00080/B,Erection of an extension,22 New Road Laxey Isle Of Man IM4 7BF,PER,28-Jul-22
22/00082/MCH,"Minor Change application to PA 17/00448/B involving alterations to approved replacement of existing buildings and construction of boat house with manager's accommodation over, a block of 4 houses and a detached dwelling; all for use as private residential",Former Port Soderick Hotel And Adjacent Land Port Soderick Beach Port Soderick Isle Of Man IM4 1BH ,REF,04-Apr-22
22/00083/B,Erection of a general purpose agricultural building,Cronk Beg Glenlough Farm Ballahutchin Hill Union Mills Isle Of Man IM4 4AT ,PER,27-Apr-22
22/00085/B,Removal of existing shed and erection of replacement shed,26 Ballalough Estate Andreas Isle Of Man IM7 4HU,PER,24-Feb-22
22/00087/B,Erection of a garage,Ash House Main Road Kirk Michael Isle Of Man IM6 1ED,WDN,09-Aug-22
22/00089/C,Additional use of residential property as tourist accommodation,Apartment 7 Piccadilly Court Queens Promenade Douglas Isle Of Man IM2 4NS ,PER,13-May-22
22/00090/B,Variation of condition 2 of PA 20/00038/B to change the operational dates from Thursday 24th to Monday 28th March,Nobles Park Nobles Park Douglas Isle Of Man IM2 4BD ,PER,16-Mar-22
22/00092/MCH,Minor Change application to PA 19/00477/B involving alterations to install a skylight in the roof of the approved extension for additional light,3 St Catherines Close Douglas Isle Of Man IM1 4JD ,PER,15-Feb-22
22/00093/B,Replace existing conservatory with an extension,La Paz Lucerne Court Douglas Isle Of Man IM2 6BJ ,PER,13-Apr-22
22/00094/B,Application of smooth render finish over existing dash,Withington Court Withington Road Douglas Isle Of Man IM2 3BE,PER,16-Mar-22
22/00095/B,Erection of an extension,86 Cronk Grianagh Estate Douglas Isle Of Man IM4 4RR ,REF,20-Jul-22
22/00096/B,Enlargement of existing entrance porch to accommodate a disabled access ramp,Shop 1 School Close Jurby Isle Of Man IM7 3BJ ,PER,16-Mar-22
22/00097/B,Installation of an Air Source Heat pump,Briardene Little Switzerland Douglas Isle Of Man IM2 6AE,PER,03-Mar-22
22/00098/B,Exterior re-rendering and removal of existing dummy chimney stacks form the roof with associated works,Pumpkin Patch Child Care Centre Hailwood Court Douglas Isle Of Man IM2 7EA ,PER,24-Mar-22
22/00099/B,Single storey rear extension with associated works.,The Oaks 23 Ballaquark Douglas Isle Of Man IM2 2EZ,REF,08-Jun-22
22/00100/B,Erection of a rear extension,81 Lezayre Park Ramsey Isle Of Man IM8 2PU,PER,24-Mar-22
22/00101/B,Installation of two replacement heat pumps,Muirfield Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PL,PER,03-Mar-22
22/00102/B,Creation of temporary tourist accommodation units and associated facilities for the 2022 TT period,Former Prison Site Victoria Road Douglas Isle Of Man  ,PER,17-Mar-22
22/00103/B,Creation of temporary tourist accommodation units and associated facilities for the 2022 Classic TT and Grand Prix period,Former Prison Site Victoria Road Douglas Isle Of Man  ,PER,17-Mar-22
22/00104/B,"Reposition driveway piers, extend porch and replacement of the garage roof",Eden Field Ballachurry Road Greeba Isle Of Man IM4 3LE,PER,05-May-22
22/00105/B,Creation of hardstanding and dropped kerb access,50 Derwent Drive Onchan Isle Of Man IM3 2DA,PER,29-Jul-22
22/00106/B,Alterations and Extensions to include garage and rear extension,4 Ballafurt Close Port Erin Isle Of Man IM9 6HS,PER,21-Apr-22
22/00107/B,Installation of an upstand rooflight to rear extension (retrospective),28 Y Vaarney Yiarg Castletown Isle Of Man IM9 1HZ ,REF,09-Nov-22
22/00108/B,"Installation of bi-fold door to the rear, replacing existing windows and door",Amnis De Russyn Phildraw Road Ballasalla Isle Of Man IM9 3DU,PER,03-Mar-22
22/00109/B,"Alterations including windows, erection of a rear porch extension and privacy screen, and creation of rear parking and vehicle access",Kala (formerly East Dene) 2 Marine Terrace Port St Mary Isle Of Man IM9 5EQ ,PER,26-Apr-22
22/00110/MCH,Minor changes application to PA 18/01064/B to replace cladding with a render,The Haven Old Laxey Hill Laxey Isle Of Man IM4 7BZ,PER,13-May-22
22/00111/B,Installation of 2 x windows,15 Birch Hill Grove Onchan Isle Of Man IM3 4EL,PER,25-Mar-22
22/00112/B,Repositioning of rear door and installation of additional window with associated works,Greenfield 5 Malew Road Castletown Isle Of Man IM9 4EA,PER,02-Mar-22
22/00113/B,Erection of a dormer style dwelling with associated works,7 Riverbank Road Ramsey Isle Of Man  ,PER,21-Apr-22
22/00114/MCH,Minor Change application to PA 21/00354/B involving re-siting and reconfiguration of windows / door and garage door to approved detached garage,Old Reservoir House Little Mill Road Onchan Isle Of Man IM4 5BD,PER,16-Mar-22
22/00115/D,Installation of a digital advertising display,5 South Quay Douglas Isle Of Man IM1 5AJ,PER,09-Aug-22
22/00116/B,"Alterations to existing dwelling including installation of front and rear dormer, and (retrospective) installation of a flue",Corneilagh 38 Ballachrink Drive Onchan Isle Of Man IM3 4NQ,PER,23-May-22
22/00117/B,"Installation of new windows to front and left elevations, installation of a car charging point, heat pump and roof solar tiles",Unit 52 Balthane Park Balthane Ballasalla Isle Of Man IM9 2AX ,PER,06-Jun-22
22/00118/C,Change of use of building to an office (retrospective),The Chapel Nursery Avenue Onchan Isle Of Man IM3 4HG ,PER,03-Mar-22
22/00119/B,Installation of a replacement front door with side lights,31 Albany Road Douglas Isle Of Man IM2 3NF,PER,03-Mar-22
22/00120/D,Installation of signage to existing illuminated boarding at front elevation,Former Lloyds TSB Bank Market Square Castletown Isle Of Man IM9 1LQ,PER,29-Apr-22
22/00122/B,Erection of an extension to North West elevation,6 Rheast Mooar Close Ramsey Isle Of Man IM8 3LT,PER,23-Mar-22
22/00123/MCH,"Minor Change application to PA 21/00203/B involving reduction of footprint, amendments to roof and utilising roof space, alterations of windows and driveway alignment",The Warren Clannagh Road Santon Isle Of Man IM4 2HP ,REF,24-Feb-22
22/00124/B,Erection of new double timber gates across driveway and installation of a timber garden shed (Retrospective),Wren Cottage Main Road Sulby Isle Of Man IM7 2HP ,PER,27-Apr-22
22/00125/B,Alteration and erection of extension,Thie-Ny-Greiney St Judes Road Sulby Isle Of Man IM7 2ES,PER,13-May-22
22/00126/B,Erection of an agricultural building and installation of a silo,Ballakaighen Farm Staarvey Road Cronk Y Voddy Peel Isle Of Man IM5 2AS,PER,28-Apr-22
22/00127/B,Creation of 2 ponds,Smeale Farm Smeale Ramsey Isle Of Man IM7 3EB ,PER,10-May-22
22/00128/LAW,Certificate of Proposed Development for the installation of telecommunication equipment and wire mesh in church tower,Trinity Methodist Church Rosemount Douglas Isle Of Man IM1 3EY ,CLAWA,28-Oct-22
22/00129/B,Restoration works including reinstatement of a door and window to North elevation and louvred vent to South elevation,Goods Shed Captains Hill Laxey Isle Of Man IM4 7AY ,PER,18-Mar-22
22/00130/B,Demolition of conservatory and detached garage and erection of 2 storey side extension with associated works.,Thorny Cottage Thorny Road Douglas Isle Of Man IM2 5EA,PER,12-Apr-22
22/00131/CON,Registered Building consent for demolition elements to PA 22/00130/B,Thorny Cottage Thorny Road Douglas Isle Of Man IM2 5EA,PER,12-Apr-22
22/00132/CON,Erection of a commemorative plaque to a registered building,The Manx Co-Operative Building The Parade Castletown Isle Of Man IM9 1LG,PER,18-Mar-22
22/00133/GB,Erection of a commemorative plaque to front elevation,The Manx Co-Operative Building The Parade Castletown Isle Of Man IM9 1LG,PER,18-Mar-22
22/00134/B,Erection of ground and first floor extensions and widening of driveway and vehicular access,2 Birch Drive Ballawattleworth Peel Isle Of Man IM5 1WQ ,PER,06-Apr-22
22/00135/MCH,Minor Change application to PA 18/00292/B involving alterations to approved garage to create additional living space,14 Groudle Road Onchan Isle Of Man IM3 2EJ ,PER,12-Apr-22
22/00136/B,Erection of a single storey extension to rear elevation (retrospective),32 Castle Street Peel Isle Of Man IM5 1AL,PER,21-Jun-22
22/00137/B,Removal of conservatory and erection of side and rear extension with internal re-configuration,Thie Corneil 1 Banks Howe Onchan Isle Of Man IM3 2EN ,PER,23-Mar-22
22/00138/B,Erection of replacement office accommodation cabins,Billown Quarry Foxdale Road Ballasalla Isle Of Man IM9 3DW ,PER,06-Apr-22
22/00139/B,Erection of 107 dwellings (amendment to dwelling types approved under PA 19/00137/B),"B1-B9 B12-B17 B25-B33 B36 B40-B59  B62-B75 B86-B90 B96 B100 B102 B106-B131 B133-B139 B142-B148 Phase 2 Reayrt Mie, Ballasalla Isle Of Man",PER,30-Nov-22
22/00140/B,Erection of a replacement Dust Shed,Billown Quarry Foxdale Road Ballasalla Isle Of Man IM9 3DW,PER,06-Apr-22
22/00141/B,Enclosing of existing covered terrace with new patio doors/windows,Folieu Lewaigue Maughold Isle Of Man IM7 1BN ,PER,30-Mar-22
22/00142/B,Rendering to South and West boundary walls (retrospective),Arch House Douglas Street Castletown Isle Of Man IM9 1AY,REF,09-May-22
22/00143/B,Re roofing works and installation of roof solar panels,19 Claughbane Drive Ramsey Isle Of Man IM8 2AY,PER,28-Sep-22
22/00144/B,"Alterations, erection of extension and creation of a caf‚ (class 1.3)",King Edward Bay Golf Club Groudle Road Onchan Isle Of Man IM3 2JR ,PER,16-Mar-22
22/00145/B,Installation of replacement windows and doors,8 - 10 Market Street Peel Isle Of Man IM5 1AD,PER,18-Mar-22
22/00148/CON,"Registered buildings consent for the demolition of the Registered Buildings No's 27 - 28 North Quay and Demolition of No's 22, 23, 25 and 26 North Quay which are buildings within a Conservation Area.",22 - 28 North Quay Douglas Isle Of Man IM1 4LE,REF,28-Sep-22
22/00149/GB,"Demolition of No's 22, 23 ,25, 26, 27 and 28 North Quay, conversion of No. 24 North Quay and redevelopment to provide ten apartments and three bar/restaurant units (use class 3) (in association with 22/00148/CON)",22 - 28 North Quay Douglas Isle Of Man IM1 4LE ,REF,28-Sep-22
22/00150/B,Erection of polytunnel and shed.,Field 425031 Ronague Road Ronague Castletown Isle Of Man IM9 4HG ,PER,06-Jul-22
22/00153/B,Erection of extension to rear yard and installation of replacement windows to front and rear elevations,9 Eastfield Douglas Isle Of Man IM1 4AU,PER,25-Apr-22
22/00154/B,Replacement garage door,Garage 1 Brewery Wharf Castletown Isle Of Man IM9 1ES,PER,29-Apr-22
22/00155/B,Conversion of building into 5 residential units with associated parking,Stanley House Second Avenue Onchan Isle Of Man IM3 4LT ,PER,29-Mar-22
22/00156/B,"Alterations, erection or extension to rear, roofing works, installation of rear bifold doors, replacement doors and windows and render to dwelling",20 Patrick Street Peel Isle Of Man IM5 1BR ,PER,30-May-22
22/00157/B,Creation of a lower ground floor apartment,Atholville 3 - 4 Castle Drive Douglas Isle Of Man IM2 4LX,REF,30-Mar-22
22/00159/B,Erection of a detached dwelling with associated parking,Pro Tem Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,REF,05-Aug-22
22/00160/B,Erection of an extension,Thie-Ny-Mara Shore Road Laxey Isle Of Man IM4 7DJ,REF,07-Apr-22
22/00161/CON,"Registered Building consent for alterations, renovations and extension to dwelling (in association with 22/00162/GB) Registered Building Nos. 61",Highbury House 3 Parliament Square Castletown Isle Of Man IM9 1LA,PER,30-Mar-22
22/00162/GB,"Alterations, renovations and extension to dwelling to include additional use for tourism accommodation (in association with 22/00161/CON)",Highbury House 3 Parliament Square Castletown Isle Of Man IM9 1LA,PER,30-Mar-22
22/00163/C,Change of use from residential accommodation to tourist use,3 Church Lane Peel Isle Of Man IM5 1AW,PER,06-Apr-22
22/00164/B,"Replacement of roof tiles, guttering and drainage pipework",5 Arbory Road Castletown Isle Of Man IM9 1NA,PER,28-Apr-22
22/00165/B,Erection of a detached building as a studio for florist business,Ballacreg Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE,PER,19-Jul-22
22/00166/B,"Alteration, erection of extension and widening of driveway",37 Eskdale Road Onchan Isle Of Man IM3 2AH,PER,29-Sep-22
22/00167/B,"Removal of condition numbers 6, 7 & 8 of application IDO 34987 relating to the use and occupation of the dwelling",Hillcrest Balnahowe Santon Isle Of Man IM4 1HN ,REF,07-Oct-22
22/00168/B,Erection of a rear extension (retrospective),45 Fuchsia Grove Ballasalla Isle Of Man IM9 2DT,WDN,19-May-22
22/00170/B,Installation of hard stand and sod mound to field (retrospective),Field 224319 Main Road Ballaugh Isle Of Man IM7 5ES ,PER,09-Aug-22
22/00172/C,Change of use of parking site to overnight camping facility for club members,Airship Hanger Base Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,PER,27-Sep-22
22/00173/B,Erection of two polytunnels,Glen Villas & Field 131682 Ballamanagh Road Sulby Isle Of Man IM7 2HB,PER,23-May-22
22/00176/B,Installation of replacement windows and door,Flat 10 Clybane Mooragh Promenade Ramsey Isle Of Man IM8 3BA ,WDN,27-Apr-22
22/00177/B,Alterations and erection of a two storey extension to rear elevation,Corvalley Farm Stockfield Road Kirk Michael Isle Of Man IM6 1HP,PER,19-Apr-22
22/00180/B,Extension to the rear annex and roof height increased to tie in with main house roof (retrospective),Mar Rowee Bradda Road Port Erin Isle Of Man IM9 6QB ,PER,19-Jul-22
22/00181/B,Installation of replacement roof tiles,The Elms 3 Glencrutchery Road Douglas Isle Of Man IM2 5HS,PER,14-Apr-22
22/00182/B,Alterations an erection of extension to existing dwelling and erection of a detached garage,Thurlby Cottage Ballagawne Ballabeg Castletown Isle Of Man IM9 4HL ,PER,19-Jul-22
22/00183/B,Erection detached outbuilding.,Copper Top 1 Booilushag Ballajora Ramsey Isle Of Man IM7 1BD,PER,27-Apr-22
22/00184/B,Erection of single and two storey extension and widening of driveway and access,16 Auldyn Meadow Drive Auldyn Meadow Ramsey Isle Of Man IM8 2TR ,PER,07-Apr-22
22/00185/B,Replacement single storey rear extension,Shangani Beach Road Port St Mary Isle Of Man IM9 5NG ,PER,08-Apr-22
22/00187/B,Construction of a single storey extension and alterations,17 Oatfield Rise Ballasalla Isle Of Man IM9 2HN,PER,08-Apr-22
