"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"AXA Equity & Law International Total Income Fund Limited","046945C","30 Nov 1989","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HUw535hKxwe2xEgvwX9BpQ%3d%3d","2024-04-28"
"Equity & Law International Total Income Fund Limited","046945C","30 Nov 1989","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HUw535hKxwe2xEgvwX9BpQ%3d%3d","2024-04-28"
"Old Mutual International Total Income Fund Limited","046945C","30 Nov 1989","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HUw535hKxwe2xEgvwX9BpQ%3d%3d","2024-04-28"
"Zonal Incidence Limited","047208C","19 Dec 1989","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=vYNzjekd%2fO63duMHb02vbA%3d%3d","2024-04-28"
"British Colonial Investments U.S.A. Inc. Limited","000661F","11 May 1990","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=02F%2fM9fG1amnboRdiEJAcA%3d%3d","2024-04-28"
"Incounters Enterprise Limited","049277C","11 May 1990","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=6CDraCCPbukqizUwRqCN%2bQ%3d%3d","2024-04-28"
"Fruitex Enterprises Inc. Limited","000663F","14 May 1990","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=6V1fBryHl0qsNGkN8b9A1Q%3d%3d","2024-04-28"
"Kelvin International Inc.","000673F","4 Jun 1990","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ukpsFb%2fNkyzDtKCRQ8JPSg%3d%3d","2024-04-28"
"Spalding Enterprises Inc.","000717F","3 Jul 1990","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=aZsNlIaENYXlDevex%2bn7Pg%3d%3d","2024-04-28"
"Inchoate Investments Limited","050006C","6 Jul 1990","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2M2H0rxVpr3cOmiLw%2fDSdQ%3d%3d","2024-04-28"
"Eurodrill Inc.","000721F","10 Jul 1990","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=VJdKI0Kk0yA0TOs%2fMym%2bow%3d%3d","2024-04-28"
"Stavanger obo Carriers A/S Inc.","000732F","9 Aug 1990","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=sKFjhHqyuHPAOSN3rIjFXg%3d%3d","2024-04-28"
"Baltic Incorporated Limited","050724C","28 Aug 1990","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=U5L6LcoQmMc9T54eRIQKNQ%3d%3d","2024-04-28"
"National Computer Transatlantic Incorporated","000739F","20 Sep 1990","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2feeW4NgEyoCNbs1gDnTn8w%3d%3d","2024-04-28"
"Finmatics Holdings Inc.","000739F","20 Sep 1990","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2feeW4NgEyoCNbs1gDnTn8w%3d%3d","2024-04-28"
"Microcomp Inc. Limited","051711C","1 Nov 1990","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ofbBuwGzrEX%2f%2brwYXO3wrA%3d%3d","2024-04-28"
"Viking Enterprise Inc Limited","052549C","16 Jan 1991","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=EVBJBPtxPWZ26SNmDIeEcg%3d%3d","2024-04-28"
"Cougar Overseas Holdings Inc.","000831F","11 Mar 1991","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HvaHdDV%2f7OJpdqVMBse%2b2Q%3d%3d","2024-04-28"
"Quadrom Software Systems Inc. Limited","053622C","10 Apr 1991","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=he%2bhnTlxSQta%2bpjzsYEtZw%3d%3d","2024-04-28"
"Noram Inc.","000848F","2 May 1991","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=wOi7v6K2DdP8S%2bAI9U7VJw%3d%3d","2024-04-28"
"Incubator Investments Limited","053977C","8 May 1991","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=aTHMALYMHpiQJ8TaL8CFJw%3d%3d","2024-04-28"
