"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Isle of Man Trade Protection Society","000368B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=6ZjAXwDfjMjH5c7A08HaQQ%3d%3d","2024-04-29"
"The Liverpool, Manchester and Isle of Man Debt Collecting and Status Enquiry Depot","000373B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=wksnQtgzoCLzP3QvlEFQ6w%3d%3d","2024-04-29"
"Isle of Man Film Company Limited","000380C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=lDb9xHne0d6aZ22038WGPg%3d%3d","2024-04-29"
"Orange River Asbestos Mines Limited","000382C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=6ANRM80Y8sUAOUeN%2fex5LA%3d%3d","2024-04-29"
"The Isle of Man Bus and Motor Car Company Limited","000383C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=QgaviawhJ35WAOFh3wB%2fCw%3d%3d","2024-04-29"
"The Governor and Company of the Bank of Ireland","000389F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=JesxHD3YYVDpxz%2bziedTOQ%3d%3d","2024-04-29"
"Bank of Ireland Nominees Limited","000390F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Ai6bSk2zaA3B3R%2fIfQnXUQ%3d%3d","2024-04-29"
"B. and O. C. Limited","000403C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=EMhwNf8Uwk97GG3UrMjfhg%3d%3d","2024-04-29"
"The Isle of Man Hide and Skin Company Limited","000412C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=7T14wrvTfnYKul1ZLmRCPQ%3d%3d","2024-04-29"
"Isle of Man Air Lines","000416B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=e%2bkMDmHrlqGpHSkeXdorXA%3d%3d","2024-04-29"
"Imperial Tobacco Company of Pakistan Limited","000416C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2bqhbAeitktetr6qNvZcu5A%3d%3d","2024-04-29"
"Over The Falls (I.O.M.) Limited","000417C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=AUCuye6z7%2bwicCUBaI%2bB0Q%3d%3d","2024-04-29"
"Belfast Oils and Produce Company Limited","000423C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=yHphtF35B0mF0NkHGvMJ8w%3d%3d","2024-04-29"
"Openshaw and Co.","000425B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=N9mNFXolJgKDXSi247nQGg%3d%3d","2024-04-29"
"The Isle of Man Putting Greens Company Limited","000441C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=9l%2bJXPH8y41FHnq%2fCBsZFg%3d%3d","2024-04-29"
"Isle of Man Grain Company.","000442B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=yi5Vv60bdUfqY%2bsAwU3c%2bQ%3d%3d","2024-04-29"
