SubUnit_Name,House_Number,House_Name,Street_Name,Locality,Town,Postcode,Parish_,Market_Value,Consideration,Acquisition_Date,CompletionDate
,,Ballamin Cottage,Lhen Road,,Bride,IM7 4BG,Bride,"500,000.00","500,000.00",07/05/2021,20/04/2022
,,,Fernlea,,Bride,IM7 4AT,Bride,"200,000.00","200,000.00",02/03/2022,26/05/2022
,,,The Grange,,Bride,IM7 4AT,Bride,"700,000.00","700,000.00",22/03/2022,30/05/2022
,,,Land Off Grenaby Road,,Bride,,Bride,"175,000.00","175,000.00",06/05/2022,12/07/2022
,,Field Number 114218 And Ballamin Access Roads,Ballamin,Off Lhen Road,Bride,,Bride,"20,000.00","20,000.00",26/05/2022,03/10/2022
,,Land Off,Ballacorey Road,,Bride,,Bride,"200,000.00","200,000.00",03/08/2022,01/09/2022
,,Boundary Cottage,Nassau Road,Regaby,Bride,IM7 4AL,Bride,"585,000.00","585,000.00",30/09/2022,21/11/2022
Field part of the Estate of Ballamin,,,Off The Lhen Road,,Bride,,Bride,"68,000.00","68,000.00",09/11/2022,23/11/2022
,,Kerrowdhoo Farm,Cranstal Road,Cranstal,Bride,IM7 4BR,Bride,"275,000.00","275,000.00",20/10/2022,19/01/2023
,,Poolustha,Bride Road,,Bride,IM7 4AT,Bride,"140,000.00","140,000.00",16/02/2023,14/03/2023
,,,Land Part Of The Quarterland Of Ballacondra And Ballaragh,,Bride,,Bride,"45,000.00","45,000.00",12/01/2023,19/04/2023
,,Ballabeg,Nassau Road,Dog Mills,Bride,IM7 4AQ,Bride,"525,000.00","525,000.00",17/07/2023,31/07/2023
,,Glascoe Cottage,Nassau Road,Dog Mills,Bride,IM7 4AQ,Bride,"145,000.00","145,000.00",23/01/2024,07/03/2024
Plot of Land at Ballacregga,,,Off Lhen Road,,Bride,,Bride,"15,000.00","15,000.00",26/04/2024,03/09/2024
,,,Church View,,Bride,IM7 4AT,Bride,"415,000.00","415,000.00",28/06/2024,29/10/2024
,,3 Rectory Cottages,Andreas Village,,Kirk Andreas,IM7 4EZ,Andreas,,"110,000.00",12/06/2002,03/07/2002
,,3 Rectory Cottages,Andreas Village,,Kirk Andreas,IM7 4EZ,Andreas,"190,000.00","190,000.00",16/05/2007,25/10/2007
,,3 Rectory Cottages,Andreas Village,,Kirk Andreas,IM7 4EZ,Andreas,"170,000.00","170,000.00",07/07/2017,20/07/2017
