Planning  Applications Determined between 1/1/16 - 31/12/16,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,16/00774/B,"Conversion of unit from retail to hot food takeaway and restaurant, including installation of extraction and ventilation equipment",27-Oct-16,Senior Planning Officer - South (SC),Units 24 B/C The Village Walk Onchan Isle Of Man IM3 4EB
Permitted,16/00794/B,Installation of replacement windows,27-Oct-16,Senior Planning Officer - South (SC),3A Derby Road Douglas Isle Of Man IM2 3ES 
Permitted,16/00958/B,Alterations and application of render and cladding to dwelling,28-Sep-16,Senior Planning Officer - South (SC),Ballarhenny Orrisdale Kirk Michael Isle Of Man IM6 2HJ 
Permitted,16/00967/B,Alterations and erection of extension to dwelling,29-Sep-16,Senior Planning Officer - South (SC),Withens 72 Highfield Crescent Onchan Isle Of Man IM3 3BT
Permitted,16/00969/B,Replacement of existing glazed conservatory roof with tiles,29-Sep-16,Senior Planning Officer - South (SC),26 Ballagarey Road Glen Vine Isle Of Man IM4 4EB
Permitted,16/01015/C,Additional use of tourist accommodation as residential accommodation,07-Nov-16,Senior Planning Officer - North (CB),Beaconsfield Barn Richmond Hill Douglas Isle Of Man IM4 1JG 
Permitted,16/01038/B,Creation of stable block,01-Nov-16,Planning Committee,Land Adjacent To Allandale Farm Ballamanagh Road Sulby Isle Of Man  
Permitted,16/01145/B,Extension to dwelling and re-instatement of garage door.,10-Nov-16,Senior Planning Officer - South (SC),4 Harcroft Road Douglas Isle Of Man IM2 1PG
Refused,16/01162/B,Two storey extension to rear and side of dwelling.,24-Nov-16,Senior Planning Officer - North (CB),Hazeldene 2 Ballaquinnea Cottages Braaid Road Glen Vine Isle Of Man IM4 2AS
Permitted,14/01328/B,Demolition of rear and side annexes to existing building and conversion and extension of building to form seventeen apartments,29-Nov-16,Interim Director 2016,Kingswood House  3 Harris Terrace Douglas Isle Of Man IM1 3PL
