RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status
176,The Central Hotel,30/09/1998,https://www.gov.im/media/632939/0500176regbldcentralhotel.pdf,Ramsey,,Registered
177,"Erin Brae, Queen's Promenade",12/10/1998,https://www.gov.im/media/632315/0500177regblderinbrae.pdf,Douglas,,Registered
178,St Thomas Church,14/06/1999,https://www.gov.im/media/632321/0500178regbldstthomaschurch.pdf,Douglas,,Registered
179,"Harold Tower, Douglas Head Road",18/09/2000,https://www.gov.im/media/632327/0500179regbldharoldtowerfortanne.pdf,Douglas,,Registered
181,"Old School/House, St Mark's",06/12/2000,https://www.gov.im/media/632585/0500181regbldoldschoolhouse.pdf,Malew,,Registered
182,"St Mark's Church, St Mark's",09/05/2001,https://www.gov.im/media/632591/0500182regbldstmarkschurch.pdf,Malew,,Registered
183,"Bayqueen Hotel, The Promenade",,https://www.gov.im/media/1382477/rb183-de-registration-notice-combined_compressed.pdf,Port St Mary,,De-registered
184,"Church Cottages, St Mark's",09/05/2001,https://www.gov.im/media/632597/0500184regbldchurchcottage.pdf,Malew,,Registered
185,"King William's College, Castletown",06/07/2001,https://www.gov.im/media/631991/0500185regbldkingwilliamscollege.pdf,Castletown,,Registered
186,"Douglas Hotel, North Quay",26/07/2001,https://www.gov.im/media/632333/0500186regblddouglashotel.pdf,Douglas,,Registered
187,"1-12 Victoria Terrace, off Victoria Road",15/08/2001,https://www.gov.im/media/632339/0500187regbld8victoriaterrace.pdf,Douglas,,Registered
188,"All Saints Church, Alexander Drive",15/08/2001,https://www.gov.im/media/632345/0500188regbldallsaintschurchhall.pdf,Douglas,,Registered
189,Close Lake House,15/05/2001,https://www.gov.im/media/631499/0500189regbldcloselake.pdf,Andreas,,Registered
190,"Woodlands, Alexander Drive",31/10/2001,https://www.gov.im/media/632351/0500190regbldwoodlands.pdf,Douglas,,Registered
191,"Ravenscourt, Peel Road",31/10/2001,https://www.gov.im/media/632357/0500191regbldravenscourt.pdf,Douglas,,Registered
192,"Crescent Cinema, Central Promenade",31/10/2001,https://www.gov.im/media/632363/0500192regbldthevenue.pdf,Douglas,,Registered
193,"Old Brewer's House, Castle Hill",31/10/2001,https://www.gov.im/media/632369/0500193regbldcastlehillhouse.pdf,Douglas,,Registered
194,Primitive Methodist Chapel,31/10/2001,https://www.gov.im/media/632825/0500194regbldpeelmethodistchurch.pdf,Peel,,Registered
195,"The National Westminster Bank, Prospect Hill",20/09/2002,https://www.gov.im/media/632375/0500195regbldnationalwestminsterb.pdf,Douglas,,Registered
196,"Jubilee Clock, Victoria Street",20/09/2002,https://www.gov.im/media/632381/0500196regbldjubileeclock.pdf,Douglas,,Registered
197,"St Mary's of the Isle Catholic Church, Hill Street",20/09/2002,https://www.gov.im/media/632387/0500197regbldstmaryschurch.pdf,Douglas,,Registered
