Decisions issued under delegated authority 1/1/16 - 31/12/16,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Replacement of existing windows and door with UPVC - RB 139 (in connection with PA 16/01274/GB),Flat 3  Thurwood Place 26 West Quay Ramsey Isle Of Man IM8 1DJ,PER,22-Dec-16,16/01275/CON
"Conversion of unit from retail to hot food takeaway and restaurant, including installation of extraction and ventilation equipment",Units 24 B/C The Village Walk Onchan Isle Of Man IM3 4EB,PER,27-Oct-16,16/00774/B
Installation of replacement windows,3A Derby Road Douglas Isle Of Man IM2 3ES ,PER,27-Oct-16,16/00794/B
Alterations and application of render and cladding to dwelling,Ballarhenny Orrisdale Kirk Michael Isle Of Man IM6 2HJ ,PER,28-Sep-16,16/00958/B
Alterations and erection of extension to dwelling,Withens 72 Highfield Crescent Onchan Isle Of Man IM3 3BT,PER,29-Sep-16,16/00967/B
Replacement of existing glazed conservatory roof with tiles,26 Ballagarey Road Glen Vine Isle Of Man IM4 4EB,PER,29-Sep-16,16/00969/B
Additional use of tourist accommodation as residential accommodation,Beaconsfield Barn Richmond Hill Douglas Isle Of Man IM4 1JG ,PER,07-Nov-16,16/01015/C
Extension to dwelling and re-instatement of garage door.,4 Harcroft Road Douglas Isle Of Man IM2 1PG,PER,10-Nov-16,16/01145/B
Two storey extension to rear and side of dwelling.,Hazeldene 2 Ballaquinnea Cottages Braaid Road Glen Vine Isle Of Man IM4 2AS,REF,24-Nov-16,16/01162/B
Demolition of rear and side annexes to existing building and conversion and extension of building to form seventeen apartments,Kingswood House  3 Harris Terrace Douglas Isle Of Man IM1 3PL,PER,29-Nov-16,14/01328/B
Creation of additional high level glazing to front and side elevations and installation of a mezzanine floor to Unit C6,Units C1 - C6 & D1 - D6 Eden Business Park Cooil Road Braddan Isle Of Man IM4 2AY ,PER,11-Jan-16,15/01291/B
"Alterations and extension to K Block to provide additional boys toilets, staff room facilities and a languages classroom",Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE ,PER,07-Jan-16,15/01293/B
Replacement of existing glazed conservatory roof with light weight roof tiles,8 Farmhill Gardens Douglas Isle Of Man IM2 2EG,PER,24-Mar-16,16/00173/B
Erection of a conservatory to the west elevation,39 Vicarage Park Douglas Isle Of Man IM2 2QE ,PER,05-Dec-16,16/01213/B
Application to make lawful the use of land as a storage compound,Land Adjacent To Ellenbrook Farm Old Castletown Road Douglas Isle Of Man  ,REF,24-Aug-16,16/00261/LAW
Closure of existing and creation of new vehicular entrance,Awyn Beg Surby Road Ballafesson Port Erin Isle Of Man IM9 6TE,PER,12-Apr-16,16/00263/B
Creation of an additional window to dwelling,1 Links View Onchan Isle Of Man IM3 2AW,REF,13-Oct-16,16/00618/B
"Alterations, erection of extension and widening of existing driveway and vehicular access",52 Ballagarey Road Glen Vine Isle Of Man IM4 4EF,PER,12-Jul-16,16/00619/B
Approval in principle for the erection of a dwelling,Plot 143 To Rear Of Greenmantle Tromode Park Estate Douglas Isle Of Man  ,PER,11-Jul-16,16/00620/A
Replacement of existing glazed conservatory roof with tiles,14 Baldrine Park Baldrine Isle Of Man IM4 6DD,PER,26-Jul-16,16/00621/B
Additional use of residential dwelling as tourist accommodation,Ballakaneen Chapel Andreas Road Andreas Isle Of Man IM7 4EW,PER,17-Jun-16,16/00495/C
Change of use from retail to food preparation and takeaway,Ground Floor Shop 17 Duke Street Douglas Isle Of Man IM1 2BB,PER,29-Jun-16,16/00496/C
Installation of non-illuminated car parking signage (retrospective),Douglas Head Apartments Douglas Head Douglas Isle Of Man IM1 5BY ,PER,08-Jul-16,16/00624/D
Alterations and extensions to provide additional and improved living accommodation.,2 Rheast Mooar Avenue Ramsey Isle Of Man IM8 3LR,PER,10-Nov-16,16/01146/B
Demolition of existing hotel and erection of an apartment block containing fifteen units for either residential or tourist use  with associated parking (comprising amendments to PA 12/01540/B),Grosvenor Hotel  Promenade Port Erin Isle Of Man IM9 6LA,PER,16-Jun-16,14/00100/B
Alterations and erection of extension to rear of dwelling,2 Erinville Cottages Douglas Road Kirk Michael Isle Of Man IM6 1AT,PER,12-Oct-16,16/00731/B
Relocation of existing access road.,Access Road Mullen E Carty Foxdale Road Ballasalla Isle Of Man  ,PER,09-Nov-16,16/01107/B
Change of use of former travel agents to office,66 Bucks Road Douglas Isle Of Man IM1 3AE,PER,15-Dec-16,16/01259/C
Erection of signage to front elevation,Piccadilly Court Queens Promenade Douglas Isle Of Man IM2 4NS,PER,15-Jan-16,15/01303/D
Alterations and erection of an extension to dwelling,10 Baldrine Park Baldrine Isle Of Man IM4 6DE,PER,05-Feb-16,15/01359/B
Approval in principle for the erection of a replacement dwelling and detached garage addressing means of access,Upper Rhenab Rhenab Road Cornaa Ramsey Isle Of Man IM7 1EL ,PER,24-Jun-16,16/00469/A
Creation of an additional doorway,9 - 11 Duke Street Douglas Isle Of Man  ,PER,31-May-16,16/00470/B
Demolition of existing conservatory and installation of windows and doors into existing apertures,Cat With No Tail Hailwood Court Douglas Isle Of Man IM2 7EA ,PER,18-Aug-16,16/00622/B
Erection of fencing,Little Ballakewin Foxdale Road Ballasalla Isle Of Man IM9 3ET,PER,27-Oct-16,16/00934/B
"Alterations, insertion of mezzanine floor in redundant workshop to provide staff accommodation and removal of buildings to create additional parking space",Ellerslie Depot  Old Church Road Crosby Isle Of Man IM4 2HA,PER,31-Oct-16,16/00935/B
Erection of an extension to existing coalstore,Cobblers Goose Switchback Road Knocksharry Peel Isle Of Man IM5 2AG,PER,28-Sep-16,16/00937/B
Install twin wall 200mm dia. flue to rear wall of single storey rear sun room to service proposed new woodburner fire,37 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HT,PER,04-Nov-16,16/00987/B
Removal of existing and creation of new garage and gym with additional rooflights and new dormer to roof.,Ballageil Station Road Ballaugh Isle Of Man IM7 5AB,PER,14-Dec-16,16/01023/B
Removal of existing conservatory and creation of proposed sunroom.,25 Larivane Meadows Andreas Isle Of Man IM7 4JE ,PER,25-Nov-16,16/01067/B
Alterations and extensions to side/rear elevations.,1 Whitehouse Cottages Main Road Kirk Michael Isle Of Man IM6 2HE ,PER,09-Nov-16,16/01090/B
Extension to ground floor with external store.,22 Ballabrooie Way Douglas Isle Of Man IM1 4EN,PER,22-Dec-16,16/01102/B
Erection of fence on garden boundary.,18 Thornhill Close Port Erin Isle Of Man IM9 6NG,PER,21-Nov-16,16/01147/B
"Erection of a building to provide workshop, store, office and a welfare facility",MER Facility Rencill Hill Laxey Isle Of Man  ,PER,27-Sep-16,16/00843/B
Change of use of premises from food and drink to retail,58 Strand Street Douglas Isle Of Man  ,PER,22-Sep-16,16/00844/C
Addition of conduit mechanically fixed to side of column and the placement of a freestanding collar structure containing lighting onto the monument (in association with 16/00848/CON),The Smelt Memorial The Parade Castletown Isle Of Man  ,PER,20-Sep-16,16/00847/GB
Registered Building consent for the addition of conduit mechanically fixed to side of column and the placement of a freestanding collar structure containing lighting onto the monument (in association with 16/00847/GB) Registered Building Nos. 33,The Smelt Memorial The Parade Castletown Isle Of Man  ,PER,20-Sep-16,16/00848/CON
Erection of non-illuminated signage.,51 Strand Street Douglas Isle Of Man IM1 2EJ,PER,15-Nov-16,16/01169/D
Approval in principle for the erection of a detached dwelling addressing means of access,Plot Adj To Instow & Dreeymlang Ballagorry Drive Glen Mona Ramsey Isle Of Man  ,PER,15-Nov-16,16/01178/A
Erection of new stables and tractor/lawn mower store.,Field 524014 Old Castletown Road Port Soderick Isle Of Man  ,PER,14-Dec-16,16/01188/B
Replacement of existing glazed conservatory roof with a new roof with light weight roof tiles,31 Wybourn Drive Onchan Isle Of Man IM3 4AT,PER,18-Feb-16,16/00045/B
Re-instatement of vehicular access,Easthope & Cubbon Ltd  Hills Meadow Industrial Estate Douglas Isle Of Man IM1 5EA ,PER,18-Feb-16,16/00048/B
Erection of a single storey extension to front elevation,Highcroft Station Road St Johns Isle Of Man IM4 3AH,PER,06-Jan-16,15/01315/B
Application to make lawful the installation of replacement windows and doors to front and rear elevations,5 Hatfield Grove Douglas Isle Of Man IM1 3HE,CLAWA,13-Jan-16,15/01317/LAW
Erection of a two storey extension to existing Group Practice Surgery and extension to car park to provide additional parking spaces,Palatine Group Practice Strang Corner Field Strang Douglas Isle Of Man IM2 3TD ,PER,11-Jan-16,15/01319/B
Erection of a first floor extension and a single storey sun room extension to rear elevation,Corvalla Barn   Howe Road Port St. Mary Isle Of Man IM9 5PR ,PER,06-Jan-16,15/01321/B
Erection of a dwelling (change of house type from that approved under PA 13/91289/B),"Plot 17, Slieau Whallian View To The Rear Of Ballawattleworth Cottage  Poortown Road Peel Isle Of Man  ",PER,22-Feb-16,16/00036/B
Removal and brick up existing window to side elevation and installation of new window to rear elevation,13 Rheast Mooar Close Ramsey Isle Of Man IM8 3LT,PER,05-May-16,16/00249/B
Erection of new gate pillars and associated wall and installation of domestic bulk gas storage tank and base,Mill House Dogmills Ramsey Isle Of Man IM7 4AD ,PER,11-Jul-16,16/00250/B
Erection of extension to side elevation,9 Ellan Park Ramsey Isle Of Man IM8 3NS,PER,16-May-16,16/00252/B
Alterations and first floor extensions to dwelling,Whane Lea Leodest Road Andreas Isle Of Man IM7 3EG,PER,18-May-16,16/00251/B
Extension to dwelling to provide additional living accommodation and office (amendments to PA 15/00102/B),Chesterfield Lower Ballaclucas Crosby Isle Of Man IM4 4HN ,PER,11-May-16,16/00359/B
"Alterations, demolition of garage, erection of a two storey side extension to dwelling and widening of existing driveway and vehicular access",60 Ballabrooie Way Douglas Isle Of Man IM1 4HB,PER,16-May-16,16/00360/B
Replacement of existing glazed conservatory roof with roof tiles,Hazeldene Rhencullen Kirk Michael Isle Of Man IM6 2HA ,PER,18-Feb-16,16/00030/B
Replacement of existing glazed conservatory roof with roof tiles,31 Birch Hill Avenue Onchan Isle Of Man IM3 4ES,PER,15-Feb-16,16/00031/B
"Alterations, erection of an additional detached garage and extension of existing driveway",33 Highfield Close Onchan Isle Of Man IM3 3BR,PER,31-Mar-16,16/00191/B
Demolition of existing dwelling (retrospective) and erection of a replacement dwelling with associated parking,Heathfield Phildraw Road Ballasalla Isle Of Man IM9 3EH,PER,10-May-16,16/00192/B
Installation of replacement roof tiles to dwelling,Helvetia Grove Mount West Ramsey Isle Of Man IM8 3HR,PER,13-Apr-16,16/00211/B
"Alterations, replacement of garage door with two windows and creation of an additional window to dwelling",8 Hedgerow Close Douglas Isle Of Man IM2 1NH,PER,10-May-16,16/00213/B
