"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"21/01262/B","Third phase of development consisting of 128 dwellings, a neighbourhood centre with children's nursery and local shop units, and public open space including a children's playground","Field 434091 & Parts Of  Fields 435106 (formerly 432719), 434974 (formerly 434089) And 434090 Adjacent To Railway Terrace, Ballasalla Isle Of Man ","PER","27-May-22","2022"
"21/01263/B","Erection of a double garage","Land Adjoining Ard Reayrt And Rear To Wayside Laxey Isle Of Man  ","REF","25-Feb-22","2022"
"21/01264/D","Installation of illuminated & non-illuminated fascia signs, non-illuminated wall mounted sign and replacement panel to existing totem sign","Currys Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR ","PER","17-Jan-22","2022"
"21/01265/B","Conversion from leisure facility to retail unit","Cherry Orchard Swimming Pool Bridson Street Port Erin Isle Of Man IM9 6AN ","PER","12-Apr-22","2022"
"21/01267/B","Erection of rear and side extensions to dwelling, and widening of existing driveway and vehicle access.","Ardlamont 8 Y Vaarney Yiarg Castletown Isle Of Man IM9 1HZ ","PER","21-Feb-22","2022"
"21/01268/B","Erection of front and rear extension.","55 Bemahague Avenue Onchan Isle Of Man IM3 4AP","REF","28-Jan-22","2022"
"21/01269/B","Installation of a replacement shop front","6 Prospect Hill Douglas Isle Of Man IM1 1EJ ","PER","08-Feb-22","2022"
"21/01270/B","Erection of decking to front the elevation (retrospective)","40 Ballaquark Douglas Isle Of Man IM2 2ET","REF","25-Jan-22","2022"
"21/01271/B","Erection of detached garage","1 Church Close Lonan Laxey Isle Of Man IM4 7JY","PER","16-Sep-22","2022"
"21/01273/B","Alterations and extension to existing garage","Fire Station Peel Road Douglas Isle Of Man IM1 5ED","PER","09-Feb-22","2022"
"21/01274/B","Erection of an agricultural storage building","Field 534374 Creg-Ny-Baa Back Road Creg Ny Baa Onchan Isle Of Man  ","REF","10-Jan-22","2022"
"21/01276/B","Alterations and erection of an extension to the rear elevation","2 Summerhill Douglas Isle Of Man IM2 4PJ","PER","22-Sep-22","2022"
"21/01279/B","Proposed alterations to existing conservatory","East Ballabane Smeale Ramsey Isle Of Man IM7 3EB ","PER","25-Apr-22","2022"
"21/01280/B","Erection of a raised decking area","Upper Ballayack Earystane Colby Isle Of Man IM9 4HN ","PER","21-Feb-22","2022"
"21/01282/B","Alterations to increase size of window to front elevation and removal of a window to side elevation","Glenfield House Glen Road Colby Isle Of Man IM9 4HW","PER","21-Feb-22","2022"
"21/01285/C","Change of use of existing warehouse into a leisure facility","Unit 3  Balthane Industrial Estate Ballasalla IM9 2AJ","PER","23-Feb-22","2022"
"21/01287/B","Erection of shed and carport","Laurel Bank Rencell Hill Laxey Isle Of Man IM4 7BJ","PER","25-Mar-22","2022"
"21/01288/B","Erection of raised decking (retrospective)","41 Castlemona Avenue Douglas Isle Of Man IM2 4EB","REF","12-Jan-22","2022"
"21/01289/B","Alteration and alignment of 2 existing farm access points to provide improved access to Farm and farmland, that straddles the A26 Braaid Road, St Marks. A farm track is in included in the proposal to access the main farm buildings/area","Ballavarvane Farm And Fields 435406, 434589 Braaid Road St Marks Ballasalla Isle Of Man IM9 3AP","PER","21-Jul-22","2022"
"21/01290/B","Erection of proposed detached dwelling and integral garages","Water Gardens Jurby Coast Road Jurby West Isle Of Man IM7 3AS ","PER","23-Feb-22","2022"
"21/01292/B","Alterations, erection of a loft extension with associated dormer window","12 Groudle Road Onchan Isle Of Man IM3 2EJ","REF","11-Jul-22","2022"
"21/01295/B","Alterations, erection of a dwelling, conversion of four flats into three dwellings, creation of parking and vehicular access, bicycle / bin store and landscaping","104 Summerhill Road Onchan Isle Of Man IM3 1NJ","REF","25-Mar-22","2022"
"21/01299/B","Erection of a single storey extension to rear elevation","6 Close Cam Port Erin Isle Of Man IM9 6NB","PER","28-Jan-22","2022"
"21/01300/CON","Registered Building consent for alterations to Tower roof involving the removal of modern roof and chimney and reinstatement of slate roof, former window, flued stone chimneys, stone gable wall, attic layout and water goods (in association with 21/01301/G","Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ","PER","10-Jan-22","2022"
"21/01301/GB","Alterations to Tower roof involving removal of modern roof and chimney and reinstatement of slate roof, dormer window and chimneys (in association with 21/01300/CON)","Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ","PER","10-Jan-22","2022"
"21/01302/B","Alterations and erection of extension (Amendment to P/A 18/00007/B)","Mullen Beg Patrick Road Patrick Village Isle Of Man IM5 3AW","PER","26-Aug-22","2022"
"21/01303/B","Erection of a rear extension to dwelling","10 Birch Drive Ballawattleworth Peel Isle Of Man IM5 1WQ ","PER","18-Feb-22","2022"
"21/01304/B","Erection of an extension to rear elevation","3 Ballamaddrell Port Erin Isle Of Man IM9 6AS","PER","07-Apr-22","2022"
"21/01307/D","Erection of an illuminated projection sign","3 & 3A Ridgeway Street Douglas Isle Of Man IM1 1EW","PER","18-Jan-22","2022"
"21/01308/B","Creation of Viking Settlement for education and entertainment purposes including erection of buildings and means of access","Kattegat Jurby Road Sandygate Ramsey Isle Of Man IM7 3AG ","PER","08-Jul-22","2022"
"21/01311/B","Installation of ground mounted solar array.","Area Of Land Adjacent To Upper Howe Farm Old Castletown Road Douglas Isle Of Man  ","PER","23-Feb-22","2022"
"21/01313/B","Conversion of existing residential and commercial space into retail (class 1.1), tea rooms (class 1.3), restaurant (class 1.3), and tourist accommodation above","Overcliffe The Promenade Port St. Mary Isle Of Man IM9 5DA","PER","25-Jan-22","2022"
"21/01315/B","Installation of ground mounted solar panels and timber fence","Field 314194 Ramsey Road Peel Isle Of Man  ","PER","03-May-22","2022"
"21/01316/B","Temporary siting of four storage containers (for food and drink), platforms, scaffolding and spectator seating during the Isle of Man TT and the Isle of Man Festival of Motorcycling races","Land Adjacent To Glen Moar Mill And Field 315139 Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN ","PER","26-Apr-22","2022"
"21/01317/B","Conversion of disused outbuildings to ancillary living space","Skinscoe Farm Ramsey Road Laxey Isle Of Man IM4 7PP","PER","09-Sep-22","2022"
"21/01318/C","Change of use of ground floor hairdressers to a bar","26 - 27 Loch Promenade (former Windsor Hotel) Douglas Isle Of Man IM1 2LY","PER","08-Feb-22","2022"
"21/01319/B","Erection of first floor extension above existing garage","48 Governors Hill Douglas Isle Of Man IM2 7AS","PER","08-Feb-22","2022"
"21/01321/B","Erection of garage with storage over (amendment to PA 20/01170/B)","Courtlands 2 Marathon Avenue Douglas Isle Of Man IM2 4HZ","PER","08-Feb-22","2022"
"21/01324/B","Alterations and erection of ground and first floor extensions","6 Lucerne Court Douglas Isle Of Man IM2 6BJ ","PER","14-Feb-22","2022"
"21/01325/B","Removal of a chimney stack","38 York Road Douglas Isle Of Man IM2 3AX","PER","19-Jan-22","2022"
"21/01326/B","Erection of 10 dwellings (change of dwelling designs from approved PA 20/01367/B)","Plots 2 - 6, 14 - 17 & 19  Land Adjoining Auldyn Way, Auldyn Walk And Gardeners Lane Ramsey IM10 1MM","PER","06-May-22","2022"
"21/01327/B","Alterations, creation of flat roof over garage (retrospective), replacement dormers, installation of glass balustrade, creation of first floor French doors from existing window and lowering of garden area to create a patio","50 Derby Square Douglas Isle Of Man IM1 3LP","PER","19-Jan-22","2022"
"21/01328/B","Erection of rear extension","68 Governors Hill Douglas Isle Of Man IM2 7EU","PER","04-Feb-22","2022"
"21/01329/B","Erection of first floor extension above garage","8 St Marys Meadow Ballaugh Isle Of Man IM7 5AJ","PER","04-Mar-22","2022"
"21/01332/C","Additional use of summerhouse as self-catering tourist accommodation","Greenbank 33 Mines Road Laxey Isle Of Man IM4 7NH","REF","07-Mar-22","2022"
"21/01334/B","Alterations, erection of extension and detached sun room and widening of driveway and vehicular access","2 Birch Hill Avenue Onchan Isle Of Man IM3 4EW","PER","02-Mar-22","2022"
"21/01335/B","Conversion of structure to provide retail and takeaway area with associated sheltered seating","6 Cubicles And Huts The Promenade Laxey Isle Of Man IM4 7DD","PER","01-Apr-22","2022"
"21/01336/B","Erection of a detached double garage","Glenside Cottage West Baldwin Isle Of Man IM4 5HA ","PER","10-May-22","2022"
"21/01337/B","Extensision on top of existing garage.","12 Seafield Crescent Onchan Isle Of Man IM3 3BY","PER","21-Jan-22","2022"
"21/01339/B","Alterations and extension to existing garage,","The Quoins Fistard Port St. Mary Isle Of Man IM9 5PE ","PER","04-Feb-22","2022"
"21/01341/B","Alterations and extension to existing tholtan to form dwelling","Kates Cottage Ballnahowe Road Ballnahowe Port Erin Isle Of Man  ","PER","11-May-22","2022"
"21/01343/C","Change of use of garage to a gym business","Garage Adjacent To 4 Windsor Terrace Douglas Isle Of Man IM1 3LU","PER","03-Feb-22","2022"
"21/01344/B","Erection of a side extension to dwelling","1 Julian Road Douglas Isle Of Man IM2 6ER","PER","08-Feb-22","2022"
"21/01345/B","Installation of windows to the east and west face of the building","Ballaquane Cottage Poortown Road Peel Isle Of Man IM5 2AR","PER","17-Jan-22","2022"
"21/01346/D","Erection of four non illuminated advertisement boards to the front elevation","Units 16 And 17  Snugborough Trading Estate Union Mills Isle Of Man IM4 4LG","PER","06-Jan-22","2022"
"21/01347/B","Window / door alterations and roofing works to agricultural storage building (retrospective)","Field 335429 Adjacent To Dinahs Cottage Main Road Glen Maye Isle Of Man IM5 3AU ","PER","27-Sep-22","2022"
"21/01348/B","Erection of seven industrial / storage buildings","Unit D Balderton Court Balthane Ballasalla Isle Of Man IM9 2AJ ","PER","27-Apr-22","2022"
"21/01350/B","Replacement of existing conservatory and erection of single storey extension to rear elevation","Croit-Y-Keeil Harbour Road Santon Isle Of Man IM4 1HF","PER","18-Jan-22","2022"
"21/01353/B","Temporary erection of 150 bell tents for camping during TT period, between the following dates: 27th May - 14th June 2022, 26th May - 13th June 2023, 31st May - 18th June 2024 & 30th May - 17th June 2025.","Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE ","PER","21-Mar-22","2022"
"21/01357/B","Replacement window and balcony door to front elevation","8 Strathallan Crescent Douglas Isle Of Man IM2 4NR","PER","17-Jan-22","2022"
"21/01358/B","Conversion of existing outbuilding into ancillary living accommodation, erection of a carport, installation of patio doors, and creation of a pond with associated landscaping works","Old Ballacorris Mullinaragher Road Santon Isle Of Man IM4 1HZ ","PER","11-May-22","2022"
"21/01360/B","Alterations including creation of new access and infill of an existing access to wall","1 Marine Garden Loch Promenade Douglas Isle Of Man  ","PER","25-Mar-22","2022"
"21/01361/C","Change of use from office use to a residential dwelling","97 Woodbourne Road Douglas Isle Of Man IM1 3AW ","PER","04-Feb-22","2022"
"21/01362/B","Proposed alterations of existing detached garage to create home office / guest accommodation with attic space and carport","The Old Mill Mullinaragher Road Santon Isle Of Man IM4 1HZ","PER","14-Mar-22","2022"
"21/01363/B","Alterations and extensions to dwelling.","Port E Vullen House Port E Vullen Ramsey Isle Of Man IM7 1AN ","PER","03-Mar-22","2022"
"21/01364/B","Installation of a flue","38 Ballachrink Drive Onchan Isle Of Man IM3 4NQ","WDN","29-Mar-22","2022"
"21/01366/B","Proposed access ramps and guarding walls to main entrance doors","Shore House Shore Road Port Erin Isle Of Man IM9 6HH","PER","21-Jan-22","2022"
"21/01368/B","Replacement of existing vehicle test centre building with construction of a new industrial building","Former Vehicle Test Centre Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QJ","PER","19-Jul-22","2022"
"21/01369/B","Redevelopment of the Vehicle and Driving Test Centre Site including Refurbishment and Extension of the Existing Building","Vehicle Test Centre Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QJ ","PER","19-Jul-22","2022"
"21/01370/B","Alterations and rear extension.","163 Fairways Approach Mount Murray Douglas Isle Of Man IM4 2JH ","PER","25-Jan-22","2022"
"21/01372/B","Alterations, installation of first floor balcony to front elevation and erection of replacement ground and first floor extension to front and side elevations","Creg Lea Farmhouse Niarbyl Road Dalby Isle Of Man IM5 3BS","PER","13-Jan-22","2022"
"21/01373/B","Widening of an existing vehicle access and creation of additional off road parking","3 Highfield Crescent Onchan Isle Of Man IM3 3BH","PER","19-Jan-22","2022"
"21/01374/CON","Registered building consent for demolition elements to PA 21/01360/B","1 Marine Garden Loch Promenade Douglas Isle Of Man  ","PER","28-Mar-22","2022"
"21/01375/B","Rear window alterations","3 Fuchsia Lane Reayrt Ny Keylley Peel Isle Of Man IM5 1GJ ","PER","19-Jan-22","2022"
"21/01378/B","Removal of garden wall and erection of replacement porch","Ballaterson Manor Ballaterson Beg Ballaugh Isle Of Man IM7 5BN","PER","13-Jan-22","2022"
"21/01379/B","Alterations, replacement extension and new single storey extension","Merrigal House Ballavitchel Road Crosby Isle Of Man IM4 2DL","PER","17-Jan-22","2022"
"21/01380/B","Alterations including roofing works, windows and doors, construction of a summerhouse and widening of the existing vehicle access","3 Mount View Road Onchan Isle Of Man IM3 4AB","PER","28-Jan-22","2022"
"21/01381/B","Installation of roof mounted solar panels","Rose Lodge Mount Bradda Douglas Isle Of Man IM1 4AR","PER","31-Jan-22","2022"
"21/01382/B","Alterations and erection of a single storey extension to side elevation","40 Mountain View Peel Isle Of Man IM5 1QF ","PER","24-Jan-22","2022"
