"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"16/00894/B","Installation of a flue","56 Ballagarey Road Glen Vine Isle Of Man IM4 4EF","PER","13-Oct-16","2016"
"16/00895/B","Erection of a side elevation to dwelling","4 Erin Rise Port Erin Isle Of Man IM9 6FF ","PER","13-Oct-16","2016"
"16/00896/B","Erection of an extension to replace existing conservatory","11 Manor Lane Douglas Isle Of Man IM2 2NX","PER","22-Sep-16","2016"
"16/00897/B","Alterations and erection of a two storey extension to dwelling","Green Hills Pinfold Hill Laxey Isle Of Man IM4 7HJ","PER","20-Dec-16","2016"
"16/00898/B","Installation of replacement front windows and door to dwelling","5 Upper Dukes Road Douglas Isle Of Man IM2 4BA","PER","19-Oct-16","2016"
"15/01113/B","Demolition of existing garage and erection of a two storey extension to dwelling, and extension to existing hard standing","15 Larch Hill Grove Douglas Isle Of Man IM2 5NU ","PER","06-Jan-16","2016"
"15/01154/GB","Creation of two outside seating areas including the installation of overhead awnings and heaters (in association with 15/01155/CON)","18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ","PER","05-Feb-16","2016"
"15/01160/B","Erection of a front porch","22 Governors Hill Douglas Isle Of Man IM2 7AS","PER","19-Jan-16","2016"
"15/01161/B","Erection of a front porch","24 Governors Hill Douglas Isle Of Man IM2 7AS","PER","19-Jan-16","2016"
"15/01282/B","Erection of a single storey rear extension and widening of vehicular access","4 Norwood Drive Douglas Isle Of Man IM2 5HJ","PER","05-Jan-16","2016"
"15/01344/B","Alterations and extension to dwelling","Braeside Lower Foxdale Isle Of Man IM4 3AZ ","PER","20-Jan-16","2016"
"16/00112/B","Erection of porch extension to front elevation","49 Ballabrooie Grove Douglas Isle Of Man IM1 4EX","PER","17-Mar-16","2016"
"16/00421/B","Erection of a garage to rear elevation of dwelling","151 Woodbourne Road Douglas Isle Of Man IM2 3BB","PER","25-May-16","2016"
"16/00422/B","Erection of a replacement rear conservatory to dwelling","29 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX","PER","06-Jun-16","2016"
"16/01151/B","Replacement roof to rear annex.","7 Close Oard Ramsey Isle Of Man IM8 3PY ","PER","10-Nov-16","2016"
"16/01214/C","Creation of dog treatment facility within an existing shed and part of the house (retrospective)","5 Kallow Point Road Port St. Mary Isle Of Man IM9 5EJ","PER","07-Dec-16","2016"
"15/01347/B","Alterations to and conversion of existing off licence to a betting shop","20 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ","PER","26-Jan-16","2016"
"15/01382/GB","Installation of two air conditioning chiller units to the rear of building (in association with 15/01383/CON)","18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ","PER","22-Jan-16","2016"
"15/01383/CON","Registered Building Consent for the installation of two air conditioning chiller units to rear elevation (RB no 223 in association with PA 15/01382/GB)","18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ","PER","22-Jan-16","2016"
"16/00342/B","Erection of a first floor extension above existing garage to provide guest accommodation","Spindrift Pooilvaaish Road Castletown Isle Of Man IM9 4PJ","PER","24-Jun-16","2016"
"16/00479/B","Erection of a conservatory to dwelling","The Poplars 19 Summerhill Road Onchan Isle Of Man IM3 1NE","PER","31-May-16","2016"
"16/00480/B","Replacement of existing glazed conservatory roof with tiles","4 Erin Lane Port Erin Isle Of Man IM9 6FE ","PER","17-Jun-16","2016"
"16/00481/B","Replacement of existing glazed conservatory roof with tiles","20 Ballamillaghyn  Strang Douglas Isle Of Man IM4 4HX","PER","22-Jun-16","2016"
