Decisions issued under delegated authority 1/1/17 - 31/12/17,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Replacement of garage door with glazed sliding/folding doors,Villa Mattio Main Road Glen Maye Isle Of Man IM5 3BH,PER,30-Nov-17,17/01125/B
Alterations and extensions to property including erection of two storey extension at eastern corner and single storey extension at rear,Roslyn Alexander Drive Douglas Isle Of Man IM2 3QP ,PER,15-Dec-17,17/01037/B
Replacement of existing annex roof with tiled roof,15 Taubman Street Ramsey Isle Of Man IM8 1DH,PER,29-Nov-17,17/01090/B
Installation of a replacement front door,29 Hildesley Road Douglas Isle Of Man IM2 5AX,PER,26-Jan-17,16/01303/B
Extension to provide additional ancillary living accommodation,The Nab Top Road Crosby Isle Of Man IM4 4HL,PER,29-Mar-17,16/01334/B
Creation of a driveway and vehicular access to Nos. 5 Manor View,5 & 6 Manor View Douglas IM2 2PB   ,PER,04-Aug-17,17/00521/B
Erection of an extension to replace existing conservatory,19 River Walk Braddan Douglas Isle Of Man IM4 4TJ,PER,18-Jul-17,17/00621/B
Installation of a replacement shop front with shutters,Unit 1A Strand Shopping Centre Douglas Isle Of Man IM1 2ER,PER,20-Feb-17,17/00041/B
Alterations and erection of extensions,Cronk Froy Knock Froy Road Santon Isle Of Man IM4 1JD ,PER,16-Mar-17,17/00099/B
Removal of a chimney,38 Murrays Road Douglas Isle Of Man IM2 3HW ,PER,27-Apr-17,17/00201/B
Extension to off road parking area and widening of vehicular access,133 Slieau Dhoo Douglas Isle Of Man IM2 5LF,PER,03-May-17,17/00370/B
Extension of kitchen to provide store.,Green's Tea Rooms Main Road St Johns Isle Of Man IM4 3NA ,PER,20-Jan-17,16/01228/B
Change of use of room from office to residential.,33 Cooil Breryck Ramsey Isle Of Man IM8 3HL,PER,15-Feb-17,17/00010/C
Change of use of ground floor residential unit for additional use as tourist accommodation,1 High Street Port St. Mary Isle Of Man  ,PER,14-Feb-17,17/00025/C
Single storey extension to rear of property,21 Kissack Road Castletown Isle Of Man IM9 1NW,PER,16-Mar-17,17/00069/B
Replacement windows and door,35 Woodbourne Road Douglas Isle Of Man IM2 3AD,PER,17-Mar-17,17/00122/B
Replacement white upvc casement windows to first floor front elevation,27 Duke Street Douglas Isle Of Man IM1 2AZ ,PER,22-May-17,17/00139/B
Rear extension and raising of roof pitch to create additional living accommodation at first floor level including installation of gable windows,14 Hillcrest Grove Onchan Isle Of Man IM3 3HY,PER,18-May-17,17/00177/B
Erection of agricultural shed,Friary Croft Ballakillowey Road Colby Isle Of Man IM9 4BN,PER,12-Apr-17,17/00205/B
Installation of a flue,4 Birch Hill Gardens Onchan Isle Of Man IM3 4ET,PER,04-Apr-17,17/00228/B
