"osm_id","osm_type","osm_url","lat","lon","postal_code","source:postal_code"
"831979539","way","https://osm.org/way/831979539","54.16685678208149","-4.737274900626798","IM5 3BS","Isle of Man Government Planning Applications"
"475394249","node","https://osm.org/node/475394249","54.167875","-4.729559","IM5 3BT","Isle of Man Government Planning Applications"
"25989356","way","https://osm.org/way/25989356","54.162233391614464","-4.728167874938969","IM5 3BU","Isle of Man Government Land Registry Land Transactions"
"25986554","way","https://osm.org/way/25986554","54.184844792344066","-4.705686873831316","IM5 3DA","Isle of Man Government Companies Registry"
"25988976","way","https://osm.org/way/25988976","54.18479754733911","-4.706206067340189","IM5 3DA","Isle of Man Government Companies Registry"
"1176704725","way","https://osm.org/way/1176704725","54.184756","-4.705242999999999","IM5 3DA","Isle of Man Government Companies Registry"
"283505662","node","https://osm.org/node/283505662","54.282114","-4.592881","IM6 1AL",""
"165849970","way","https://osm.org/way/165849970","54.273573999999996","-4.5751295","IM6 1AU",""
"475393099","node","https://osm.org/node/475393099","54.266368","-4.577194","IM6 1AW",""
"475393414","node","https://osm.org/node/475393414","54.238333","-4.605894","IM6 1BA","Isle of Man Government Planning Applications"
"499647981","node","https://osm.org/node/499647981","54.234861","-4.588037","IM6 1BB",""
"283479252","node","https://osm.org/node/283479252","54.244135","-4.57642","IM6 1BD","Isle of Man Government Planning Applications"
"25986389","way","https://osm.org/way/25986389","54.28726624901379","-4.582804379437838","IM6 1EB","Isle of Man Government Land Registry Land Transactions"
"475393705","node","https://osm.org/node/475393705","54.288655","-4.587157","IM6 1EE","Isle of Man Government Land Registry Land Transactions"
"40699390","way","https://osm.org/way/40699390","54.280855346231334","-4.5732545285378166","IM6 1EF","Isle of Man Government Land Registry Land Transactions"
"25989245","way","https://osm.org/way/25989245","54.2861250649106","-4.584969035902198","IM6 1EQ","Isle of Man Government Land Registry Land Transactions"
"25989009","way","https://osm.org/way/25989009","54.2864200890951","-4.58294212362719","IM6 1FA","Isle of Man Government Land Registry Land Transactions"
"10861109168","node","https://osm.org/node/10861109168","54.260002","-4.578752","IM6 1HQ",""
"25985962","way","https://osm.org/way/25985962","54.288311773633325","-4.58256896184158","IM6 2",""
"475394622","node","https://osm.org/node/475394622","54.300012","-4.571044","IM6 2EZ","Isle of Man Government Land Registry Land Transactions"
"475393196","node","https://osm.org/node/475393196","54.293928","-4.565251","IM6 2HA","Isle of Man Government Planning Applications"
"475393982","node","https://osm.org/node/475393982","54.296937","-4.573277","IM6 2HA","Isle of Man Government Land Registry Land Transactions"
"475394496","node","https://osm.org/node/475394496","54.295081","-4.575602","IM6 2HA","Isle of Man Government Land Registry Land Transactions"
"475395171","node","https://osm.org/node/475395171","54.294144","-4.582477","IM6 2HJ","Isle of Man Government Land Registry Land Transactions"
"25986254","way","https://osm.org/way/25986254","54.288755069762416","-4.33547267782719","IM7 1AZ",""
"475394614","node","https://osm.org/node/475394614","54.297473","-4.346959","IM7 1BF","Planning Committee minutes"
"234951317","way","https://osm.org/way/234951317","54.27361543737337","-4.363129560779997","IM7 1EL","Isle of Man Government Land Registry Land Transactions"
