Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/00063/B,Installation of bay window to rear elevation,02-Mar-12,Senior Planning Officer - North (CB),20 King Edward Park Onchan Isle Of Man IM3 2AB
Permitted,12/00064/B,Extension to rear elevation,08-Mar-12,Senior Planning Officer - North (CB),Glen Shoggill Ballafurt Road Port Erin Isle Of Man IM9 6HP
Permitted,12/00065/B,Installation of dormer and roof lights,02-Mar-12,Senior Planning Officer - South (SC),10 Howstrake Drive Onchan Isle Of Man IM3 1BR
Permitted,12/00066/B,Erection of a detached garage,02-Mar-12,Senior Planning Officer - North (CB),Plot 2 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ 
Permitted,12/00067/B,Installation of replacement windows to front elevation,12-Mar-12,Senior Planning Officer - North (CB),Ivy Cottage Cowells Terrace Ramsey Isle Of Man IM8 3EE 
Permitted,12/00068/D,Erection of illuminated signage (In association with 12/00069/CON),02-Mar-12,Senior Planning Officer - North (CB),26 Victoria Street Douglas Isle Of Man IM1 2LE
Permitted,12/00069/CON,Registered Building consent for the erection of illuminated signage (In association with 12/00068/D) Registered Building Nos. 225,02-Mar-12,Director Delegation,26 Victoria Street Douglas Isle Of Man IM1 2LE
Permitted,12/00070/GB,Conversion of office/retail unit to a cafe including the installation of new shop frontage (in association with 12/00071CON),02-Mar-12,Senior Planning Officer - North (CB),26 Victoria Street Douglas Isle Of Man IM1 2LE
Permitted,12/00071/CON,Registered Building Consent for conversion of office/retail unit to a cafe including the installation of new shop frontage (RB no 225 in association with 12/00070/GB),02-Mar-12,Director Delegation,26 Victoria Street Douglas Isle Of Man IM1 2LE
Permitted,12/00072/B,Installation of three solar panels,02-Mar-12,Senior Planning Officer - South (SC),Mullen Rhenass  Rhenass Road Cronk Y Voddy Kirk Michael Isle Of Man IM6 1BB
Permitted,12/00073/B,Erection of a single storey extension to side and rear of dwelling,02-Mar-12,Senior Planning Officer - North (CB),1 Ballacottier Meadow Douglas Isle Of Man IM2 2QX 
Permitted,12/00074/B,Erection of a detached dwelling (amendment to PA 11/00746/B),07-Mar-12,Planning Committee,Site At Bishopscourt Farm Bishopscourt Kirk Michael Isle Of Man  
Permitted,12/00075/B,"Alterations, installation of dormer windows and erection of first floor extension with balcony to dwelling",15-Mar-12,Senior Planning Officer - North (CB),Shenstone Shore Road Kirk Michael Isle Of Man IM6 1HA
Permitted,12/00076/B,Alterations and extension over yard of garage roof to dwelling,02-Mar-12,Senior Planning Officer - North (CB),13 Wesley Terrace Douglas Isle Of Man IM1 3HG
Permitted,12/00077/B,Boundary wall alterations and creation of a summerhouse to replace existing outbuilding,02-Mar-12,Senior Planning Officer - South (SC),Arderry 30 Cronkbourne Road Douglas Isle Of Man IM2 3LB
Refused,12/00078/B,Installation of replacement front door and windows to front and side elevations,02-Mar-12,Senior Planning Officer - North (CB),Rencell Cottage Rencell Laxey Isle Of Man IM4 7BN 
Permitted,12/00079/B,Installation of external condensers within galvanised enclosure,21-Mar-12,Head of Development Management,Unit 1 Spring Valley Trading  Estate Douglas Isle Of Man  
Permitted,12/00080/B,Alterations and erection of an extension to dwelling,02-Mar-12,Senior Planning Officer - South (SC),6 Windermere Avenue Onchan Isle Of Man IM3 2DT 
Permitted,12/00081/B,Alterations and installation of a dormer window to dwelling,02-Mar-12,Senior Planning Officer - North (CB),Thie Grianagh 13 Queens Drive West Ramsey Isle Of Man IM8 2JD 
Permitted,12/00082/B,"Alterations, erection of extension and roofing works to dwelling",02-Mar-12,Senior Planning Officer - South (SC),Wychwood Honna Road Surby Port Erin Isle Of Man IM9 6QW
Permitted,12/00083/C,Change of use of existing barn to tourist accommodation,02-Mar-12,Senior Planning Officer - South (SC),Knockaloe Beg Farm Knockaloe Beg Lane Raggatt Peel Isle Of Man IM5 3AQ 
Permitted,12/00084/B,"Window and door alterations, roofing works and replacement of an existing fence with a wall",15-Mar-12,Senior Planning Officer - South (SC),Laburnum Cottage Main Road Kirk Michael Isle Of Man IM6 1EA
Permitted,12/00085/B,Erection of extension to replace existing porch and conservatory and installation of additional window,02-Mar-12,Senior Planning Officer - South (SC),25 Park Close Glen Vine Isle Of Man IM4 4HB
Permitted,12/00086/B,Erection of a two storey extension to dwelling,15-Mar-12,Senior Planning Officer - South (SC),25 Kerrocruin Kirk Michael Isle Of Man IM6 1AG
Permitted,12/00087/B,Erection of a detached dwelling with attached garage and guest accommodation over,04-May-12,Planning Committee,Field 434022 Land Behind Debyhaven House Derbyhaven Isle Of Man  
Permitted,12/00088/B,Installation of replacement window to first floor of dwelling,02-Mar-12,Senior Planning Officer - South (SC),56 Selborne Drive Douglas Isle Of Man IM2 3NL
Permitted,12/00089/B,Erection of a conservatory to rear elevation of dwelling,02-Mar-12,Senior Planning Officer - North (CB),Ballacowin Cottage Glen Road Laxey Isle Of Man IM4 7AP
Permitted,12/00090/B,Alteration to widen driveway and access onto highway,19-Apr-12,Senior Planning Officer - North (CB),19 Ballachrink Colby Isle Of Man IM9 4PB
Permitted,12/00091/B,Erection of  replacement extension and installation of flue to rear elevation,03-Apr-12,Senior Planning Officer - South (SC),9 Manor Lane Douglas Isle Of Man IM2 2NX
Permitted,12/00092/B,Erection of a dwelling with additional garage window to side elevation (amendment to dwelling approved under PA 10/00544/B),02-Mar-12,Senior Planning Officer - North (CB),Plot B30 Reayrt Ny Cronk Poortown Road Peel Isle Of Man  
Permitted,12/00093/B,Alterations and extension to Community Hall,02-Mar-12,Senior Planning Officer - North (CB),Arbory Parish Hall Main Road Ballabeg Castletown Isle Of Man IM9 4LE
Permitted,12/00094/B,Installation of three dormers and two roof lights,09-Mar-12,Senior Planning Officer - North (CB),13 Westlands Close Ramsey Isle Of Man IM8 3PU 
Permitted,12/00095/B,"Alterations, erection of an extension and installation of replacement windows",15-Mar-12,Senior Planning Officer - North (CB),Nelson Hotel 11 Mona Drive Douglas Isle Of Man IM2 4LG
Permitted,12/00096/B,Installation of dormer to rear elevation,02-Mar-12,Senior Planning Officer - North (CB),22 First Avenue Douglas Isle Of Man IM2 6AZ
Permitted,12/00097/B,Erection of a polytunnel,05-Mar-12,Senior Planning Officer - North (CB),Field 431707 Ballamodha Straight Ballamodha Ballasalla Isle Of Man  
Permitted,12/00098/B,Driveway extension and creation of an additional vehicular access,02-Mar-12,Senior Planning Officer - North (CB),32 Cronk Drean Douglas Isle Of Man IM2 6AU
Permitted,12/00099/B,Erection of a conservatory to front elevation,15-Mar-12,Senior Planning Officer - North (CB),27 Farmhill Lane Douglas Isle Of Man IM2 2EF
Permitted,12/00100/B,Alterations to provide new roof window over kitchen,02-Mar-12,Senior Planning Officer - North (CB),35 Princes Street Douglas Isle Of Man IM1 1BB
Refused,12/00101/B,Erection of a replacement agricultural building,03-Apr-12,Senior Planning Officer - South (SC),Field 234076 Berk Farm Peel Road Kirk Michael Isle Of Man  
Permitted,12/00102/B,Installation of replacement windows,02-Mar-12,Senior Planning Officer - North (CB),9 Avondale Road Onchan Isle Of Man IM3 1AG
Deemed withdrawn 4(3) Dev Pro Order 2005,12/00103/A,Approval in principle for erection of a dwelling,06-Jun-12,Withdrawn,Land Adjacent To Alberta  Grove Mount Ramsey Isle Of Man  
Permitted,12/00104/B,Conversion of attic space into an apartment,06-Mar-12,Planning Committee,Gales Fayre Christian Street Peel Isle Of Man IM5 1NR
Permitted,12/00105/B,Alterations and extension to dwelling (Amendments to PA 11/00683/B),02-Mar-12,Senior Planning Officer - North (CB),Balla Treljah Bungalow Treljah Lane Glen Maye Isle Of Man IM5 3AY 
Permitted,12/00106/B,Installation of a dormer and erection of a porch to dwelling,02-Mar-12,Senior Planning Officer - North (CB),5 Ballachrink Drive Onchan Isle Of Man IM3 4NY
Permitted,12/00107/B,Installation of replacement windows,02-Mar-12,Senior Planning Officer - North (CB),34 Victoria Street Douglas Isle Of Man IM1 2LB
Permitted,12/00108/B,Erection of a detached garage/kennel building,02-Mar-12,Senior Planning Officer - North (CB),1 Bishopscourt Cottages Main Road Ballaugh Isle Of Man IM7 5EX
Refused,12/00109/B,"Extension to existing agricultural building / workshop, creation of sod hedge and increase in yard area curtilage",20-Mar-12,Senior Planning Officer - North (CB),JDW Engineering Ltd Adjacent To Close Veg Glen Darragh Road Glen Vine Isle Of Man IM4 4BE
Permitted,12/00110/B,Alterations to main roof,08-Mar-12,Senior Planning Officer - North (CB),International Business School  The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB
